lot	family	path	base_lines	base_prose_lines	current_prose_lines
L33	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/gates_test.exs	199	22	22
L33	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/git_test.exs	377	60	60
L33	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/graph_validator_property_test.exs	194	61	61
L33	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/graph_validator_test.exs	111	11	11
L33	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/loader_test.exs	367	31	31
L34	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/ops_object.ex	200	79	79
L34	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/ops_object_sync.ex	200	83	83
L34	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/payload_guard.ex	226	116	116
L34	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/pinning.ex	140	64	64
L34	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/provenance.ex	209	81	81
L34	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/provenance/verifier.ex	136	21	21
L34	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/ops_object_sync_test.exs	468	92	92
L34	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/payload_guard_race_test.exs	101	24	24
L34	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/pinning_test.exs	205	31	31
