path	base_lines	base_comment_lines	base_inline_comments	base_doc_lines	base_blank_lines	base_doc_blocks	base_module_blocks	base_type_blocks	base_switches	base_prose_lines	base_doctest_prompts	current_lines	current_comment_lines	current_inline_comments	current_doc_lines	current_blank_lines	current_doc_blocks	current_module_blocks	current_type_blocks	current_switches	current_prose_lines	current_doctest_prompts
runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/role_dispatch.ex	370	94	0	51	35	2	1	1	0	145	0	370	94	0	51	35	2	1	1	0	145	0
runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/verdict_exception.ex	164	21	0	42	18	1	1	0	1	63	0	164	21	0	42	18	1	1	0	1	63	0
runtime/lib/fleet/pilot/step_dispatcher/spawn.ex	909	247	0	159	82	11	3	0	0	406	0	909	247	0	159	82	11	3	0	0	406	0
runtime/lib/fleet/pilot/step_run_completer.ex	1036	129	0	125	128	7	1	1	0	254	0	1036	129	0	125	128	7	1	1	0	254	0
runtime/lib/fleet/pilot/step_run_completer/attestations.ex	225	59	0	14	27	3	1	0	0	73	0	225	59	0	14	27	3	1	0	0	73	0
runtime/lib/fleet/pilot/step_run_completer/emissions.ex	100	1	0	18	12	2	1	0	0	19	0	100	1	0	18	12	2	1	0	0	19	0
runtime/lib/fleet/pilot/step_run_completer/texts.ex	50	0	0	15	6	3	1	0	0	15	0	50	0	0	15	6	3	1	0	0	15	0
runtime/lib/fleet/pilot/step_run_consumer.ex	1007	154	0	89	124	1	1	0	6	243	0	1007	154	0	89	124	1	1	0	6	243	0
runtime/lib/fleet/pilot/step_run_consumer/gate_engine.ex	388	37	0	26	57	3	2	2	2	63	0	388	37	0	26	57	3	2	2	2	63	0
runtime/lib/fleet/pilot/step_run_consumer/gatekeeper_escalation.ex	159	30	0	15	20	1	2	0	0	45	0	159	30	0	15	20	1	2	0	0	45	0
runtime/lib/fleet/pilot/step_run_consumer/step_run_build.ex	249	28	0	16	33	1	2	1	0	44	0	249	28	0	16	33	1	2	1	0	44	0
runtime/lib/fleet/pilot/step_run_consumer/terminal_escalation.ex	276	17	0	71	30	6	2	0	0	88	0	276	17	0	71	30	6	2	0	0	88	0
runtime/lib/fleet/pilot/step_run_consumer/verdict.ex	427	109	0	62	61	1	1	0	11	171	0	427	109	0	62	61	1	1	0	11	171	0
runtime/lib/fleet/pilot/step_run_consumer/verdict_correction.ex	220	18	0	54	32	1	2	1	1	72	0	220	18	0	54	32	1	2	1	1	72	0
runtime/lib/fleet/pilot/wake_recovery.ex	110	12	0	13	17	1	1	0	0	25	0	110	12	0	13	17	1	1	0	0	25	0
runtime/lib/fleet/pilot/workflow_map_nav.ex	118	3	0	34	13	5	1	0	0	37	0	118	3	0	34	13	5	1	0	0	37	0
runtime/lib/fleet/pod_id.ex	75	1	0	26	12	5	1	0	0	27	0	75	1	0	26	12	5	1	0	0	27	0
runtime/lib/fleet/project.ex	78	6	0	39	1	0	1	0	0	45	0	78	6	0	39	1	0	1	0	0	45	0
runtime/lib/fleet/project/architect.ex	256	20	0	122	22	4	1	0	0	142	0	256	20	0	122	22	4	1	0	0	142	0
runtime/lib/fleet/project/declaration.ex	372	84	0	75	38	5	1	0	0	159	0	372	84	0	75	38	5	1	0	0	159	0
runtime/lib/fleet/project/git_ops.ex	78	9	0	11	13	2	1	0	0	20	0	78	9	0	11	13	2	1	0	0	20	0
runtime/lib/fleet/project/incidents.ex	73	5	0	27	8	1	1	0	0	32	0	73	5	0	27	8	1	1	0	0	32	0
runtime/lib/fleet/project/onboard.ex	501	123	0	84	52	2	1	0	15	207	0	501	123	0	84	52	2	1	0	15	207	0
runtime/lib/fleet/project/onboard/adopt.ex	181	6	0	16	18	1	1	0	0	22	0	181	6	0	16	18	1	1	0	0	22	0
runtime/lib/fleet/project/onboard/card.ex	368	57	0	37	45	2	1	0	0	94	0	368	57	0	37	45	2	1	0	0	94	0
runtime/lib/fleet/project/onboard/create.ex	308	56	0	43	30	2	1	0	0	99	0	308	56	0	43	30	2	1	0	0	99	0
runtime/lib/fleet/project/onboard/faces.ex	333	68	0	25	38	1	1	0	18	93	0	333	68	0	25	38	1	1	0	18	93	0
runtime/lib/fleet/project/onboard/import.ex	499	69	0	75	51	3	1	0	0	144	0	499	69	0	75	51	3	1	0	0	144	0
runtime/lib/fleet/project/onboard/lifecycle.ex	467	30	0	80	63	5	1	0	0	110	0	467	30	0	80	63	5	1	0	0	110	0
runtime/lib/fleet/project/onboard/migration.ex	368	72	0	80	42	5	1	0	0	152	0	368	72	0	80	42	5	1	0	0	152	0
runtime/lib/fleet/project/onboard/refute.ex	130	6	0	53	12	2	1	0	0	59	0	130	6	0	53	12	2	1	0	0	59	0
